Model Name,Model Year,Mile/Galon,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine Type,Price
Y Standard Range,2021,69689,Black,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJYGDED0MF106375,36775
S 100D,2018,53726,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29JF263290,42800
Y Long Range,2022,38395,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEE3NF321651,41777
Y Long Range,2020,50182,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE6LF047808,36986
Y Standard Range,2021,55437,Gray,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJYGDED0MF125878,37550
Y Long Range,2020,39539,Gray,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEEXLF043969,38550
S P90D,2016,55643,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E49GF125873,36500
Y Long Range,2021,46968,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE2MF060993,40590
Y Long Range,2022,11451,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEE5NF460597,44995
S Plaid,2022,16000,White,White,All-wheel Drive,1-Speed A/T,1020.0HP Electric Motor Electric Fuel System,5YJSA1E69NF460923,84500
S 90D,2016,62131,Red Multi-Coat,Beige,All-wheel Drive,Automatic,Electric Motor,5YJSA1E22GF145414,34885
S P90D,2015,70095,Gray Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E48FF108349,33980
S Long Range Dual Motor All-Wheel Drive,2021,19875,Gray,Black,All-wheel Drive,Automatic,Electric Motor,5YJSA1E56MF435290,66966
S P100D,2019,25106,–,–,All-wheel Drive,Automatic,Electric Motor,5YJSA1E41KF300349,58888
S Long Range Dual Motor All-Wheel Drive,2020,46480,Pearl White Multi-Coat,White/Black,All-wheel Drive,Automatic,Electric Motor,5YJSA1E25LF385292,46946
Y Performance Dual Motor All-Wheel Drive,2022,6357,Pearl White Multi-Coat,–,All-wheel Drive,Automatic,Dual Electric Motor,7SAYGDEF7NF565327,49949
Y Long Range,2021,72290,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE6MF200706,37988
Y Long Range,2020,61740,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE8LF044456,35995
S 75D,2017,50268,Red Multi,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E20HF219804,32775
S 60,2017,79662,Black,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJSA1E1XHF185751,28995
S 100D,2017,72774,Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E23HF213608,36775
S 100D,2018,60444,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29JF292157,39295
Y Long Range,2021,59343,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE6MF084424,38995
Y Long Range,2021,17200,Red Multi,–,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE1MF265348,45990
Y Long Range Dual Motor All-Wheel Drive,2021,15314,Pearl White Multi-Coat,White/Black,All-wheel Drive,Automatic,ELECTRIC MOTOR,5YJYGDEE1MF106748,44980
S Long Range,2020,28153,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E20LF361496,49550
S 70D,2016,54097,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E22GF121193,29877
Y Performance,2021,25659,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEF4MF267510,43690
Y Performance,2022,34943,Gray,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEF3NF388369,44985
X Long Range Dual Motor All-Wheel Drive,2020,44804,Midnight Silver Metallic,Black,All-wheel Drive,Automatic,Electric Motor,5YJXCDE21LF232538,58888
Y Performance Dual Motor All-Wheel Drive,2022,11684,Midnight Silver Metallic,Black,All-wheel Drive,Automatic,Dual Electric Motor,7SAYGDEF1NF464820,47777
X Performance Dual Motor All-Wheel Drive,2020,56439,–,–,All-wheel Drive,Automatic,12-Cylinder Electric,5YJXCDE49LF235625,58888
3 Performance,2022,14430,–,–,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1EC1NF132796,44944
S 75D,2018,45462,Blue,–,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E22JF281744,36855
X 75D,2019,56555,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE28KF152863,46995
X P90D,2016,10949,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE42GF006823,49775
3 Standard Range Plus,2021,22471,Pearl White Multi,White / Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EA0MF920482,31985
X 75D,2018,97245,Solid Black,Black,All-wheel Drive,Automatic,ELECTRIC MOTOR,5YJXCDE2XJF113464,37980
3 Long Range,2021,30004,Deep Blue Metallic,Black,All-wheel Drive,Automatic,Electric Motor,5YJ3E1EB6MF858191,36980
S 100D,2017,67096,Red Multi,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E25HF207115,39755
Y Long Range,2022,359,Pearl White Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEE2NF437178,53888
S 85D,2015,63474,Gray Metallic,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E28FF105790,33970
S Performance,2013,119831,Red,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJSA1DN9DFP08384,23900
3 Performance,2021,67785,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC9MF078968,35690
3 Standard Range Plus,2021,26967,Black,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EA0MF095270,33333
3 Performance,2023,706,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC8PF602387,47977
Y Long Range,2020,7535,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEF5LF004201,53950
X P100D,2018,83308,Gray,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE44JF140919,65950
3 Performance,2020,41024,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC0LF601311,44950
X 100D,2018,137037,Charcoal,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE21JF122361,54850
S Long Range,2019,39146,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E22KF347601,47988
Y Long Range,2020,27694,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9LF011109,65395
3 Long Range,2020,26931,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB8LF617344,36980
Y Long Range,2021,27935,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE8MF089463,45980
3 Performance,2020,32869,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC9LF601887,37980
X 90D,2016,93448,Black,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE24GF005063,44995
3 Performance,2023,5109,Deep Blue Metallic,Black,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1EC9PF462222,47991
S Long Range,2021,44410,Red Multi,Black / White,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E23MF417934,58490
X 75D,2016,66408,Titanium Metallic,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE2XGF025303,37775
S 90D,2017,54025,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E2XHF187590,37855
X P90D,2016,84500,Red Multi-Coat,Cream,All-wheel Drive,Automatic,Other Unspecified,5YJXCAE41GF000463,44991
X 75D,2017,43137,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,ELECTRIC MOTOR,5YJXCDE28HF044736,42980
S 75D-ALL WHEEL DRIVE 1 OWNER AUTOPILOT CONVENIENCE,2018,30056,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E24JF278070,39888
X 90D,2016,19325,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE24GF013034,51888
X 100D,2017,48709,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE22HF068255,49999
S 85,2015,72670,Deep Blue Metallic,Tan,Rear-wheel Drive,1-Speed Automatic,Electric,5YJSA1H14FFP79776,29900
3 Long Range,2018,38833,Red Multi,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EA6JF045775,35900
S Long Range,2020,30835,Red Multi,Cream,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29LF385313,48550
S P90D,2016,77818,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E48GF125377,33750
S 75D,2017,43219,Deep Blue Metallic,Black,All-wheel Drive,Automatic,Electric Motor,5YJSA1E22HF221537,36988
X 75D,2016,36741,Titanium Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE29GF010694,44988
S Long Range Dual Motor All-Wheel Drive,2021,16477,Solid Black,Black,All-wheel Drive,Automatic,Electric Motor,5YJSA1E59MF440774,64964
3 Performance,2023,10323,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC8PF408474,46490
Y Long Range,2023,10882,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEE2PF620227,48780
X 75D,2018,65608,Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE22JF100840,46995
S 90D,2016,53114,Black,Gray,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E22GF141864,35855
S 100D,2017,85071,Obsidian Black Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E22HF230870,35995
Y Performance,2020,46952,White,–,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEFXLF014674,43990
S Long Range,2019,31366,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E24KF344733,49998
X 75D,2018,58982,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE24JF101230,41981
3 Long Range,2018,34593,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB0JF178816,31981
X 75D,2016,57169,Gray,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE27GF011777,44855
X 90D,2016,71699,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE21GF012174,40999
X P90D,2016,55670,Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE47GF005344,49900
S 70,2016,43307,Gray,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJSA1E14GF157118,43977
3 LANE DEPARTURE SEATS HEATERS VIEW CAMERA CLEAN!,2018,29013,Satin,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB8JF082917,34890
3 Long Range,2019,64431,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB8KF199365,29500
X 60D,2016,24401,Titanium Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE29GF026664,55950
X P90D,2016,94414,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE45GF011112,55950
Y Performance,2022,9600,Gray,Black,All-wheel Drive,1-Speed A/T,455.0HP Electric Motor Electric Fuel System,7SAYGDEF7NF513292,52300
Y Long Range Dual Motor All-Wheel Drive,2022,9589,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,Dual Electric Motor,7SAYGDEE2NF391397,45945
Y Performance Dual Motor All-Wheel Drive,2022,5574,Solid Black,Black,All-wheel Drive,Automatic,Dual Electric Motor,7SAYGDEF4NF573854,47777
Y Long Range Dual Motor All-Wheel Drive,2022,6167,–,–,All-wheel Drive,Automatic,Dual Electric Motor,7SAYGDEE7NF356046,45945
Y Long Range,2022,25123,Midnight Silver Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEE6NF534495,45490
S 90D,2016,29911,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E24GF128341,40985
X 75D,2017,76983,Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE22HF053727,38775
Y Long Range Dual Motor All-Wheel Drive,2021,22238,Pearl White Multi-Coat,White/Black,All-wheel Drive,Automatic,Dual Electric Motor,5YJYGDEE6MF071673,43695
X P100D,2018,46529,Silver,Black,All-wheel Drive,Automatic,0.0,5YJXCBE46JF118814,63990
S 90D,2016,53151,Obsidian Black Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E21GF137207,41950
S ,2016,67118,Red Multi,–,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E22GF123901,34890
X Long Range Plus,2020,56418,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE25LF234507,59777
S 90D,2016,65731,Brown,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E23GF144269,33983
X 75D,2017,39360,Midnight Silver Metallic,White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE24HF061800,45995
3 Long Range,2018,64347,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1JF099171,29895
3 Standard Range Plus,2020,20530,Black,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EA3LF792155,35998
X 100D,2018,54350,Obsidian Black Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE2XJF140698,50000
S P85D,2015,82042,Deep Blue Metallic,Tan,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1H44FF082408,27195
Y Performance,2021,48810,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEF2MF072442,40999
S 75,2016,80735,Black,Black,Rear-wheel Drive,Automatic,Electric,5YJSA1E15GF151926,32995
S 75D,2016,60982,Deep Blue Metallic,Beige,All-wheel Drive,Automatic,Electric Motor,5YJSA1E24GF160562,31862
X Base,2022,1379,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,7SAXCAE50NF344729,90899
Y Long Range,2020,41453,White,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEEXLF011166,39795
Y Long Range,2020,49710,Gray,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE5LF054250,37988
S 100D,2017,79270,Midnight Silver Metallic,Ultra White,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E21HF200341,37190
Y Long Range,2020,40500,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE1LF033797,39483
X Performance,2019,61515,Solid Black,Black,All-wheel Drive,Automatic,Electric Motor,5YJXCDE48KF157479,60000
X 100D,2018,78375,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE20JF100405,45987
3 Long Range,2019,75740,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB3KF209798,29899
3 Long Range,2020,39980,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EBXLF616325,32985
3 Long Range,2020,18916,Black,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EBXLF640012,35980
Y Long Range,2021,33535,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE6MF186287,39900
S P85D,2015,23016,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1H20FF085840,33931
Y Performance,2021,15508,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEFXMF258245,46808
S Base,2014,39494,Black,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJSA1S1XEFP63394,29728
Y Performance,2020,35034,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEF5LF005137,40950
S 90D,2016,43092,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29GF126584,33550
X 75D,2018,42871,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE29JF101855,44950
S Base,2014,126576,Blue Metallic,Tan,Rear-wheel Drive,1-Speed Automatic,Electric,5YJSA1S1XEFP33148,23900
Y Long Range,2022,24394,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEE3NF427260,43806
S 100D,2018,40187,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,Select,5YJSA1E23JF243911,44788
3 Long Range,2018,69250,Black,Black,Rear-wheel Drive,1-Speed A/T,271.0HP Electric Motor Electric Fuel System,5YJ3E1EA5JF156317,25000
3 Long Range,2022,14591,Solid Black,Black,All-wheel Drive,Automatic,Dual Electric Motor,5YJ3E1EB0NF199249,36936
Y Long Range,2021,45560,Pearl White Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE4MF198082,39490
3 Standard,2019,65933,Black,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EA0KF304648,29494
3 Performance,2018,42078,Black,White,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB2JF070049,31775
3 Performance,2018,50456,Red Multi,White,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1JF056241,31775
Y Long Range,2021,64627,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9MF065267,37775
3 Long Range,2019,43813,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB7KF208654,29995
Y Long Range,2020,29076,Pearl White Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE8LF032534,39995
3 Performance,2019,36381,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB6KF392761,34775
3 Performance,2019,65592,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB0KF238207,31775
S P90D,2016,75715,Titanium Metallic,Black,All-wheel Drive,Automatic,Electric Motor,5YJSA1E4XGF142813,39000
S P85D,2014,81686,White,Tan,All-wheel Drive,Automatic,Electric Motor,5YJSA1H23EFP68212,30000
S P90D,2016,44440,Midnight Silver Metallic,Black,All-wheel Drive,Automatic,Electric Motor,5YJSA1E45GF141956,43000
3 Standard Range Plus,2019,103575,Solid Black,Black,Rear-wheel Drive,Automatic,Other Unspecified,5YJ3E1EA6KF410845,27995
3 Long Range,2020,28565,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB6LF665246,34555
3 Long Range,2018,20609,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB6JF186838,31991
S 85D,2015,44532,GRAY,Tan,All-wheel Drive,Automatic,Electric Motor,5YJSA1H25FF087499,28980
3 Long Range,2018,36790,–,–,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EA2JF033056,31990
3 Long Range,2018,49924,Black,Black,AWD,1-Speed Automatic,Electric,5YJ3E1EB7JF131928,29888
X 100D,2017,25286,Black,White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE42HF050564,50999
3 Long Range,2019,35059,White,–,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB8KF511538,33994
X ,2018,16994,Deep Blue Metallic,White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE24JF140793,55999
S 85,2015,78000,Black,Gray,Rear-wheel Drive,1-Speed A/T,380.0HP Electric Motor Electric Fuel System,5YJSA1H15FF087896,32900
S 75D,2017,52815,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E22HF198714,34994
Y Long Range,2023,10,White,Black,All-wheel Drive,A/T,425.0HP Electric Motor Electric Fuel System,7SAYGDEE0PA067090,52995
Y Long Range,2023,5200,Blue,Black,All-wheel Drive,A/T,425.0HP Electric Motor Electric Fuel System,7SAYGDEE8PA040056,47900
Y Long Range,2022,14459,Blue,–,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEE0NF437583,46281
X ,2019,23814,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE27KF186678,57500
3 ,2018,42408,Black,–,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB2JF070780,34275
X 90D,2016,70322,Silver,–,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE27GF020964,36999
3 ,2019,33116,Black,–,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB7KF386161,35999
3 Long Range,2018,25292,Black,Black,RWD,1-Speed Automatic,Electric,5YJ3E1EA8JF061993,28490
3 Base,2022,47156,White,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EA7NF145163,28700
Y Long Range Dual Motor All-Wheel Drive,2021,27638,While,Black,All-wheel Drive,Automatic,Dual Electric Motor,5YJYGDEE4MF074717,41985
Y Performance Dual Motor All-Wheel Drive,2022,23296,Gray,Black,All-wheel Drive,Automatic,Dual Electric Motor,7SAYGDEF2NF452109,ot Priced
X Long Range Dual Motor All-Wheel Drive,2020,46706,Pearl White Multi-Coat,Black,All-wheel Drive,Automatic,Electric Motor,5YJXCBE2XLF306771,ot Priced
3 Standard Range Plus,2019,32286,Deep Blue Metallic,White/Black,Rear-wheel Drive,Automatic,Electric ZEV 271hp,5YJ3E1EA4KF486774,ot Priced
3 Standard Range Plus,2019,82014,Red Multi,Black,Rear-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EA8KF299036,23990
S 75D,2018,56335,Black,–,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E21JF281573,38855
3 Long Range,2018,32205,Obsidian Black Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB3JF130341,33558
Y Long Range,2020,23856,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9LF044305,37995
S 75D,2019,61531,Pearl White Multi,White / Black,AWD,1-Speed Automatic,Electric,5YJSA1E22KF304036,39775
Y Long Range,2021,30752,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE4MF066360,38995
3 Long Range,2019,78627,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB9KF187385,28995
3 Performance,2018,35817,Black,Black,AWD,1-Speed Automatic,Electric,5YJ3E1EB9JF156135,31995
3 Performance,2019,61740,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB7KF393322,31775
S P90D,2016,86303,Silver Metallic,Gray,AWD,1-Speed Automatic,Electric,5YJSA1E48GF131227,29995
X P100D,2017,104687,Silver Metallic,Black,AWD,1-Speed Automatic,Electric,5YJXCBE46HF051786,41995
X P90D,2016,73184,Deep Blue Metallic,Ultra White,AWD,1-Speed Automatic,Electric,5YJXCBE47GF003731,41775
3 Performance,2021,45291,Pearl White Multi,White / Black,AWD,1-Speed Automatic,Electric,5YJ3E1EC8MF059652,37995
3 Long Range,2018,48915,Silver Metallic,Black,AWD,1-Speed Automatic,Electric,5YJ3E1EB4JF065760,28995
3 Performance,2018,70199,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB5JF084995,31775
Y Long Range,2020,45009,Pearl White Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9LF028461,37775
X P100D,2017,68254,Pearl White Multi,Black,AWD,1-Speed Automatic,Electric,5YJXCDE43HF040126,49995
3 Mid Range,2018,85473,Deep Blue Metallic,Black,RWD,1-Speed Automatic,Electric,5YJ3E1EA1JF005586,24775
Y Long Range,2022,19127,Midnight Silver Metallic,Black,AWD,1-Speed Automatic,Electric,7SAYGDEE7NF353521,43775
3 Performance,2019,82597,Pearl White Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB3KF440331,29995
X Base,2022,13469,Gray,–,AWD,1-Speed Automatic,Electric,7SAXCBE50NF364906,ot Priced
3 Long Range,2018,19580,Black,White,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB7JF135767,34232
X P100D,2017,116634,Deep Blue Metallic,White,All-wheel Drive,Automatic,Other Unspecified,5YJXCDE41HF052775,45992
3 Standard Range,2019,95129,Solid Black,Black,Rear-wheel Drive,Automatic,Other Unspecified,5YJ3E1EAXKF398425,27495
3 Long Range,2018,60992,Black,Black,All-wheel Drive,Automatic,Electric Motor,5YJ3E1EB2JF103163,29980
S 85,2016,108677,Titanium Metallic,Tan,Rear-wheel Drive,Automatic,Electric Motor,5YJSA1E12GF151768,ot Priced
S 75D,2018,55538,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29JF258820,ot Priced
S 75D,2018,51595,Red Multi,White,AWD,1-Speed Automatic,Electric,5YJSA1E24JF244923,36995
Y Long Range,2020,19902,Deep Blue Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE3LF037592,39900
3 Long Range,2019,35314,White,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB0KF386311,32899
3 Performance,2021,19461,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC7MF064163,39950
3 Long Range,2018,53924,White,Black,RWD,1-Speed Automatic,Electric,5YJ3E1EA6JF023002,31998
3 Long Range,2020,38501,White,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB3LF521010,33775
Y Long Range,2021,28410,Midnight Silver Metallic,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE4MF306622,40995
3 Long Range,2018,48947,Obsidian Black Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1JF182325,33918
S Base,2022,17037,Black,–,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E54NF472923,69877
Y Long Range,2020,26623,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9LF046359,41990
S 90D,2016,56430,White,Gray,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E45GF120363,ot Priced
S Plaid,2021,9090,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E64MF439217,86200
Y Performance,2022,13200,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEF4NF551739,49000
3 Performance,2020,31955,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC9LF586274,35805
S Long Range,2021,29920,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29MF425052,59977
X Long Range,2020,15594,Gray,Cream,AWD,1-Speed Automatic,Electric,5YJXCDE25LF298963,61961
X 75D,2016,17321,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE21GF008860,45500
X 100D,2018,37262,White,White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE2XJF101393,49949
3 Long Range,2022,9111,Black,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB5NF192880,39939
X Performance,2019,14395,Red Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE44KF189981,63963
X Long Range,2021,51727,Silver,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE26MF323466,55955
3 Long Range,2018,19580,Black,White,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB7JF135767,34232
X P100D,2017,116634,Deep Blue Metallic,White,All-wheel Drive,Automatic,Other Unspecified,5YJXCDE41HF052775,45992
3 Standard Range,2019,95129,Solid Black,Black,Rear-wheel Drive,Automatic,Other Unspecified,5YJ3E1EAXKF398425,27495
